Index;ax;ay;az;gx;gy;gz
0;-0.14;0.05;1.04;-8.00;-3.05;8.06
1;-0.14;0.07;1.01;-4.58;-5.68;9.52
2;-0.15;0.05;1.00;0.73;-7.26;11.72
3;-0.16;0.01;0.99;3.54;-7.02;12.82
4;-0.17;-0.02;0.99;1.65;-5.00;11.78
5;-0.17;-0.03;1.00;-1.71;-1.83;8.67
6;-0.18;-0.02;0.99;-3.72;2.26;4.21
7;-0.19;-0.03;1.00;-3.23;5.98;0.12
8;-0.18;-0.03;0.99;-3.23;10.01;-3.30
9;-0.18;-0.01;0.99;-4.52;12.63;-5.92
10;-0.19;0.01;0.98;-3.66;14.89;-7.45
11;-0.18;0.02;1.00;-1.40;16.97;-7.69
12;-0.18;0.02;1.00;1.04;18.98;-7.51
13;-0.17;0.01;1.00;2.14;20.94;-7.20
14;-0.17;0.00;1.00;2.14;22.83;-7.39
15;-0.16;-0.00;1.00;2.14;25.15;-8.36
16;-0.16;-0.01;1.00;2.93;27.04;-9.77
17;-0.15;-0.01;1.01;3.23;29.05;-12.02
18;-0.14;0.01;1.02;3.11;31.07;-14.59
19;-0.13;0.01;1.02;4.82;31.92;-16.24
20;-0.11;0.01;1.02;6.53;31.74;-17.46
21;-0.09;0.00;1.03;6.16;30.94;-20.14
22;-0.06;0.01;1.02;5.19;30.03;-24.29
23;-0.05;0.03;1.05;5.62;29.42;-30.33
24;-0.04;0.07;1.12;8.12;28.69;-36.93
25;-0.02;0.09;1.15;13.67;25.88;-42.24
26;-0.04;0.03;1.17;24.11;17.09;-44.37
27;0.02;-0.01;1.10;28.02;12.57;-48.89
28;0.03;-0.01;1.11;25.15;4.82;-37.84
29;0.04;0.00;1.07;24.23;-9.34;-34.06
30;0.01;0.04;1.06;22.95;-13.61;-35.71
31;0.03;0.08;1.09;26.37;-12.39;-38.57
32;-0.00;0.11;1.21;37.29;-15.87;-37.54
33;-1.09;-0.07;1.62;51.51;-20.81;-33.51
34;1.01;0.27;0.86;78.06;-56.46;-7.14
35;-0.77;-0.41;1.31;83.01;-133.61;28.93
36;0.12;0.25;1.06;55.42;-138.67;-0.55
37;-0.24;-0.13;1.15;56.03;-152.47;-5.19
38;0.03;0.06;1.08;52.00;-155.64;-4.52
39;-0.11;-0.10;1.21;49.44;-186.40;-1.46
40;-0.38;-0.05;1.19;36.74;-207.46;4.76
41;-0.28;-0.09;1.17;31.62;-212.34;7.39
42;-0.03;-0.09;1.28;28.56;-210.75;4.94
43;-0.19;-0.01;1.14;15.63;-241.94;4.46
44;-0.22;-0.05;0.98;18.68;-260.19;3.91
45;-0.28;-0.12;0.90;23.32;-267.46;5.55
46;-0.36;-0.13;0.81;21.30;-270.81;16.05
47;-0.42;-0.14;0.75;10.44;-270.94;36.80
48;-0.83;-0.09;0.60;-7.39;-264.71;62.19
49;-0.44;-0.14;0.64;-14.65;-241.15;76.54
50;-0.47;-0.12;0.95;-25.45;-230.90;72.88
51;-0.43;0.07;0.78;-34.00;-259.58;64.45
52;-0.62;-0.08;0.73;-11.35;-281.68;49.99
53;-0.79;-0.12;0.67;14.77;-280.82;37.90
54;-0.69;-0.20;0.53;26.25;-265.44;33.81
55;-0.79;-0.28;0.47;17.15;-244.08;37.66
56;-0.85;-0.21;0.43;-1.71;-221.68;42.97
57;-0.71;-0.20;0.38;-13.67;-202.27;47.55
58;-0.78;-0.18;0.45;-19.17;-205.63;49.01
59;-0.71;-0.16;0.47;-12.08;-228.58;45.59
60;-0.78;-0.26;0.43;2.87;-247.50;37.66
61;-0.85;-0.35;0.36;3.48;-254.27;31.19
62;-0.97;-0.30;0.31;-13.49;-245.85;30.52
63;-1.03;-0.21;0.27;-27.65;-218.99;32.47
64;-1.07;-0.15;0.20;-29.91;-183.53;38.02
65;-0.96;-0.15;0.16;-19.84;-153.69;47.91
66;-0.86;-0.15;0.15;-7.14;-137.33;56.46
67;-1.03;-0.22;0.14;8.36;-135.99;53.83
68;-0.92;-0.33;0.12;25.15;-136.96;35.83
69;-0.94;-0.39;0.05;30.88;-131.77;15.50
70;-0.89;-0.51;-0.02;22.09;-127.62;2.44
71;-1.04;-0.47;-0.08;-5.25;-127.38;-3.17
72;-1.05;-0.34;-0.03;-35.16;-112.61;-0.06
73;-1.03;-0.25;-0.00;-48.95;-94.06;2.14
74;-1.06;-0.19;0.03;-49.80;-81.67;2.26
75;-0.99;-0.17;0.05;-42.30;-67.75;0.67
76;-0.87;-0.25;0.09;-36.38;-58.47;-3.11
77;-0.92;-0.44;-0.01;-42.11;-64.70;-12.88
78;-0.98;-0.24;0.01;-59.45;-81.79;-30.88
79;-1.12;-0.06;-0.00;-59.69;-86.85;-30.64
80;-1.20;-0.01;-0.07;-43.27;-71.66;-17.82
81;-1.36;-0.04;-0.07;-24.72;-39.79;0.37
82;-1.35;-0.16;-0.10;-8.00;1.77;12.02
83;-1.29;-0.30;-0.12;0.79;49.07;11.78
84;-1.07;-0.36;-0.12;-2.69;91.06;-0.55
85;-0.78;-0.37;-0.09;-16.97;112.00;-17.27
86;-0.72;-0.33;-0.01;-32.96;105.65;-33.87
87;-0.82;-0.22;0.06;-42.97;85.27;-43.09
88;-0.99;-0.14;0.10;-43.95;70.68;-43.27
89;-1.17;-0.14;0.11;-36.50;74.34;-37.05
90;-1.40;-0.14;0.12;-26.55;98.63;-31.62
91;-1.40;-0.20;0.14;-14.83;145.75;-33.75
92;-1.32;-0.29;0.18;-5.43;203.49;-40.71
93;-1.06;-0.26;0.08;-4.33;254.88;-48.89
94;-0.62;-0.31;0.02;-7.93;298.95;-47.55
95;-0.51;-0.10;0.19;-19.10;279.79;-45.72
96;-0.53;-0.02;0.28;-8.24;241.88;-50.05
97;-0.56;0.00;0.36;11.23;199.04;-47.42
98;-0.74;0.01;0.53;29.30;155.03;-35.16
99;-0.89;0.01;0.64;40.53;132.08;-15.01
100;-0.98;-0.04;0.67;47.67;127.08;1.10
101;-0.97;-0.16;0.66;50.48;135.80;11.90
102;-0.93;-0.19;0.65;43.82;151.92;14.04
103;-0.83;-0.26;0.60;31.80;172.61;6.10
104;-0.74;-0.29;0.44;13.12;193.79;-6.53
