Index;ax;ay;az;gx;gy;gz
1;-0.13;-0.18;1.00;21.61;-2.44;-5.37
2;-0.14;-0.20;0.99;17.70;-0.31;-4.46
3;-0.14;-0.21;0.99;14.95;2.81;-3.11
4;-0.13;-0.19;1.00;12.15;6.29;-2.14
5;-0.10;-0.20;1.01;10.99;8.91;-2.08
6;-0.07;-0.21;1.03;11.35;10.99;-2.69
7;-0.01;-0.16;1.08;10.74;14.16;-4.09
8;0.05;-0.11;1.11;11.66;15.75;-6.16
9;0.07;-0.06;1.13;14.04;14.10;-7.69
10;0.07;0.01;1.15;13.49;10.68;-8.54
11;0.02;0.07;1.14;11.47;6.16;-9.64
12;-0.01;0.12;1.12;8.48;4.46;-10.38
13;-0.03;0.15;1.11;5.43;4.46;-9.83
14;-0.06;0.13;1.07;4.27;5.19;-9.16
15;-0.10;0.18;1.07;2.08;7.51;-5.80
16;-0.11;0.18;1.04;0.06;6.10;3.42
17;-0.12;0.15;1.02;-1.10;3.30;15.20
18;-0.16;0.15;1.00;-5.37;1.10;25.51
19;-0.19;0.18;0.99;-9.83;-0.55;33.63
20;-0.25;0.21;0.99;-11.41;-0.92;39.43
21;-0.32;0.22;0.99;-10.07;0.43;42.54
22;-0.34;0.23;1.00;-7.93;3.97;43.52
23;-0.31;0.20;1.02;-5.86;8.67;44.01
24;-0.27;0.17;1.06;-2.75;13.06;45.53
25;-0.22;0.11;1.07;0.61;16.54;48.77
26;-0.15;0.07;1.08;1.89;18.55;53.65
27;-0.11;0.02;1.06;1.40;17.21;59.20
28;-0.09;-0.00;1.04;-1.40;12.82;64.15
29;-0.08;-0.01;1.00;-5.74;6.23;68.91
30;-0.06;-0.01;0.97;-9.95;-1.22;73.79
31;-0.06;-0.01;0.95;-13.18;-7.51;77.51
32;-0.04;-0.00;0.94;-14.04;-12.51;80.32
33;-0.04;-0.02;0.95;-11.17;-15.50;79.96
34;-0.04;-0.07;0.97;-6.41;-14.83;79.28
35;-0.03;-0.12;1.00;-1.65;-10.93;79.41
36;-0.01;-0.16;1.01;1.46;-4.33;79.41
37;0.02;-0.20;1.00;2.08;1.89;78.31
38;0.05;-0.23;1.00;0.37;6.35;76.78
39;0.07;-0.23;0.99;-2.44;8.79;75.38
40;0.10;-0.23;1.00;-5.19;9.52;75.01
