Index;ax;ay;az;gx;gy;gz
1;-0.17;-0.15;1.02;3.72;-0.98;-0.31
2;-0.17;-0.17;1.02;4.39;-1.28;-0.67
3;-0.17;-0.17;1.01;4.39;-1.59;-0.98
4;-0.17;-0.17;1.02;4.03;-1.04;-1.65
5;-0.17;-0.18;1.02;3.17;-0.61;-1.77
6;-0.16;-0.17;1.02;2.20;-0.37;-1.40
7;-0.16;-0.16;1.02;2.20;-0.24;-0.85
8;-0.16;-0.17;1.02;2.08;-0.43;-0.61
9;-0.16;-0.16;1.01;1.95;-0.85;-0.43
10;-0.17;-0.16;1.00;2.20;-1.28;-0.67
11;-0.17;-0.16;1.00;2.08;-1.59;-0.61
12;-0.17;-0.16;0.99;1.83;-1.34;-0.79
13;-0.17;-0.16;0.99;1.83;-1.28;-1.04
14;-0.17;-0.16;0.99;1.83;-1.28;-1.46
15;-0.17;-0.17;0.99;1.83;-1.22;-1.22
16;-0.17;-0.19;0.99;1.40;-0.92;-0.73
17;-0.17;-0.19;0.99;0.24;-0.61;-0.31
18;-0.16;-0.19;0.99;-1.34;-0.67;0.12
19;-0.16;-0.18;0.99;-2.93;-0.43;0.37
20;-0.17;-0.18;0.99;-4.27;-0.55;0.61
21;-0.17;-0.17;1.00;-4.52;-0.61;0.67
22;-0.17;-0.16;1.00;-3.72;-0.24;0.73
23;-0.17;-0.15;1.00;-1.77;0.31;0.61
24;-0.17;-0.17;1.00;0.18;0.55;0.67
25;-0.17;-0.18;1.00;1.40;0.92;0.61
26;-0.17;-0.19;1.01;1.40;1.10;0.43
27;-0.18;-0.20;1.01;0.79;1.16;0.43
28;-0.19;-0.19;1.01;-0.85;1.46;0.79
29;-0.19;-0.18;1.02;-2.20;1.89;1.28
30;-0.19;-0.17;1.03;-3.48;2.20;1.89
31;-0.19;-0.17;1.04;-3.23;2.69;2.50
32;-0.18;-0.15;1.06;-2.01;3.17;2.62
33;-0.19;-0.15;1.09;0.06;3.72;2.01
34;-0.19;-0.16;1.12;2.32;4.64;1.40
35;-0.20;-0.17;1.16;4.03;6.47;1.04
36;-0.21;-0.19;1.19;4.03;8.18;0.85
37;-0.21;-0.19;1.21;2.87;9.83;0.79
38;-0.21;-0.20;1.23;1.04;10.86;1.59
39;-0.21;-0.20;1.24;-1.71;11.17;2.62
40;-0.20;-0.18;1.25;-4.15;11.96;3.66
41;-0.18;-0.14;1.25;-5.00;12.15;3.36
42;-0.15;-0.10;1.24;-3.23;10.99;1.34
43;-0.10;-0.05;1.25;3.78;8.85;-1.77
44;-0.09;-0.04;1.26;16.05;3.36;-5.43
45;-0.09;-0.11;1.25;27.65;-3.66;-10.31
46;-0.12;-0.16;1.24;36.62;-11.35;-12.45
47;-0.11;-0.19;1.22;37.60;-17.40;-12.57
48;-0.12;-0.21;1.20;34.30;-22.22;-11.41
49;-0.12;-0.21;1.17;29.24;-27.10;-9.03
50;-0.14;-0.19;1.15;23.99;-30.82;-6.77
51;-0.15;-0.18;1.11;19.90;-33.26;-4.70
52;-0.17;-0.17;1.09;16.72;-34.91;-3.23
53;-0.17;-0.15;1.06;15.56;-35.83;-1.95
54;-0.18;-0.14;1.03;16.36;-36.38;-1.53
55;-0.19;-0.14;1.00;18.86;-36.99;-2.32
56;-0.19;-0.16;0.96;21.79;-37.72;-3.78
57;-0.21;-0.17;0.93;24.72;-38.21;-5.25
58;-0.22;-0.17;0.90;27.59;-38.09;-7.14
