Inicia captura
0	0.04	0.02	1.01	2.93	0.73	-0.31
1	0.04	0.02	1.02	2.20	1.10	-0.31
2	0.04	0.02	1.03	1.83	1.22	-0.49
3	0.05	0.02	1.03	2.01	1.10	-0.98
4	0.04	0.03	1.02	2.56	0.37	-1.34
5	0.04	0.03	1.02	2.93	-0.12	-1.83
6	0.03	0.03	1.01	3.78	-0.67	-1.89
7	0.03	0.03	1.01	4.09	-0.92	-1.28
8	0.03	0.03	1.01	4.03	-0.98	-0.37
9	0.04	0.02	1.02	3.85	-0.37	0.00
10	0.04	0.02	1.03	3.60	0.73	-0.06
11	0.04	0.01	1.03	3.17	1.83	-0.18
12	0.04	0.02	1.03	2.50	2.69	-0.37
13	0.04	0.02	1.03	1.89	2.87	-0.37
14	0.04	0.03	1.02	1.28	2.50	-0.31
15	0.04	0.03	1.02	0.85	1.71	-0.12
16	0.03	0.04	1.01	0.98	0.92	0.12
17	0.04	0.04	1.01	2.01	0.24	0.49
18	0.04	0.04	1.02	3.42	0.18	0.18
19	0.04	0.03	1.02	4.64	0.06	-0.43
20	0.05	0.02	1.03	4.88	0.73	-0.92
21	0.05	0.02	1.03	4.33	1.28	-1.65
22	0.05	0.02	1.03	3.36	1.53	-1.95
23	0.05	0.03	1.03	2.08	1.46	-1.40
24	0.04	0.03	1.03	1.40	1.53	-0.55
25	0.04	0.04	1.03	1.04	1.46	0.49
26	0.04	0.05	1.03	1.28	1.34	1.04
27	0.05	0.05	1.03	2.01	1.16	1.46
28	0.05	0.06	1.03	2.56	0.85	1.34
29	0.06	0.05	1.03	3.30	0.61	1.04
30	0.06	0.05	1.03	3.60	0.61	0.98
31	0.06	0.04	1.04	3.30	0.37	1.10
32	0.05	0.03	1.04	3.05	0.49	1.65
33	0.05	0.04	1.04	2.44	0.18	2.20
34	0.04	0.04	1.03	2.01	-0.24	2.56
35	0.04	0.04	1.03	2.08	-0.37	2.93
36	0.04	0.04	1.02	2.32	-0.61	2.93
37	0.04	0.04	1.02	2.81	-0.85	2.69
38	0.04	0.03	1.02	3.36	-1.16	2.08
39	0.04	0.03	1.02	3.85	-1.71	1.40
40	0.04	0.02	1.02	4.09	-2.08	1.10
41	0.03	0.03	1.02	4.27	-2.81	0.73
42	0.03	0.02	1.01	4.76	-2.87	0.67
43	0.03	0.02	1.01	5.19	-2.26	0.85
44	0.03	0.01	1.01	5.00	-1.46	1.10
45	0.03	0.01	1.01	4.64	-0.18	1.40
46	0.04	0.00	1.02	3.42	1.22	1.65
47	0.04	0.00	1.03	1.89	2.26	1.59
48	0.05	0.01	1.04	0.85	2.81	1.16
49	0.05	0.02	1.04	0.73	2.20	0.37
50	0.05	0.02	1.04	2.38	1.22	-0.24
51	0.05	0.01	1.03	4.21	0.12	-0.67
52	0.05	0.01	1.03	5.49	-0.67	-0.73
53	0.04	0.01	1.02	5.62	-1.22	-0.79
54	0.04	0.01	1.02	5.00	-1.16	-0.61
55	0.05	0.01	1.02	4.46	-0.73	-0.18
56	0.05	0.01	1.02	3.72	-0.37	0.18
57	0.05	0.01	1.03	2.81	0.37	-0.06
58	0.05	0.01	1.03	2.62	0.92	-0.73
59	0.05	0.01	1.03	2.62	1.22	-1.28
60	0.05	0.00	1.04	2.69	1.34	-1.65
61	0.05	0.01	1.04	2.26	0.37	-2.14
62	0.05	0.01	1.04	1.95	-0.79	-3.11
63	0.05	0.01	1.03	2.14	-1.95	-3.60
64	0.04	0.02	1.02	2.44	-2.62	-3.72
65	0.04	0.02	1.01	2.75	-2.62	-3.17
66	0.04	0.02	1.00	2.69	-2.26	-2.62
67	0.03	0.03	1.00	2.26	-1.71	-1.95
68	0.03	0.05	0.99	1.65	-1.04	-1.34
69	0.03	0.06	1.00	1.59	0.00	-0.92
70	0.04	0.07	1.00	2.08	1.04	-0.31
71	0.05	0.06	1.00	2.62	1.53	0.06
72	0.05	0.06	1.02	3.36	2.01	0.24
73	0.05	0.05	1.02	3.48	1.89	0.18
74	0.04	0.06	1.03	2.99	1.83	0.49
75	0.04	0.07	1.03	2.75	1.59	0.61
76	0.04	0.08	1.02	2.99	1.40	0.85
77	0.04	0.09	1.03	3.54	1.53	1.22
78	0.05	0.10	1.02	4.21	1.95	1.28
79	0.06	0.11	1.02	4.52	2.69	1.83
80	0.06	0.11	1.03	4.27	2.93	3.11
81	0.07	0.12	1.03	4.03	2.50	4.76
82	0.07	0.11	1.04	4.21	2.14	6.35
83	0.07	0.10	1.05	4.88	1.77	7.87
84	0.07	0.09	1.05	5.37	1.34	9.40
85	0.06	0.08	1.05	5.80	0.98	10.56
86	0.06	0.08	1.05	5.68	0.79	11.96
87	0.06	0.07	1.04	5.00	0.85	13.18
88	0.05	0.08	1.04	3.66	0.73	13.79
89	0.05	0.08	1.04	2.69	0.98	14.10
90	0.05	0.07	1.04	1.77	1.28	14.40
91	0.05	0.08	1.04	0.85	1.40	14.89
92	0.06	0.08	1.04	0.67	0.92	14.95
93	0.06	0.07	1.04	1.53	-0.31	15.26
94	0.05	0.07	1.03	3.05	-1.89	15.93
95	0.05	0.07	1.02	5.00	-3.23	16.54
96	0.04	0.06	1.02	6.84	-4.27	16.72
97	0.03	0.06	1.01	8.06	-4.46	16.78
98	0.03	0.06	1.00	8.61	-4.33	17.15
99	0.03	0.05	1.00	9.03	-3.85	17.52
100	0.02	0.05	1.00	9.03	-3.30	17.33
101	0.03	0.05	1.00	9.22	-2.93	17.03
102	0.03	0.05	1.01	10.31	-2.56	15.93
103	0.03	0.05	1.01	11.72	-2.56	15.26
104	0.03	0.05	1.01	13.31	-2.32	15.69
105	0.03	0.04	1.01	14.10	-1.46	15.87
106	0.03	0.03	1.01	14.16	-0.79	16.48
107	0.03	0.03	1.01	13.49	-0.18	16.54
108	0.04	0.02	1.02	12.63	0.73	16.72
109	0.04	0.00	1.04	11.60	1.16	17.33
110	0.04	0.00	1.04	9.64	1.34	18.19
111	0.04	0.00	1.04	7.57	1.28	19.23
112	0.04	0.01	1.03	5.62	0.24	19.96
113	0.04	0.02	1.02	4.15	-0.85	20.94
114	0.04	0.03	1.01	4.39	-2.14	22.46
115	0.04	0.04	1.00	6.04	-3.17	23.56
116	0.04	0.02	1.00	8.18	-3.72	24.05
117	0.04	0.00	1.00	10.31	-3.54	23.93
118	0.04	-0.01	1.01	11.78	-3.05	23.32
119	0.04	-0.03	1.01	12.15	-2.14	22.22
120	0.03	-0.04	1.02	11.29	-1.40	21.12
121	0.04	-0.03	1.03	9.09	-0.37	20.08
122	0.05	-0.01	1.04	7.63	0.37	19.41
123	0.06	-0.04	1.03	13.61	-0.55	17.33
124	0.05	-0.09	1.01	19.29	-3.11	16.60
125	0.05	-0.07	1.02	18.13	-5.00	16.85
126	0.04	-0.07	1.02	16.48	-5.62	17.27
127	0.03	-0.12	1.03	19.47	-6.10	17.40
128	0.01	-0.16	1.03	21.24	-6.23	16.97
129	0.00	-0.17	1.04	19.04	-6.10	15.01
130	-0.00	-0.17	1.05	16.66	-6.29	11.96
131	-0.01	-0.19	1.04	16.05	-6.96	8.67
132	-0.02	-0.21	1.03	15.14	-7.57	5.92
133	-0.03	-0.20	1.03	13.00	-7.93	4.33
134	-0.03	-0.21	1.02	9.83	-7.39	3.30
135	-0.03	-0.20	1.02	6.71	-6.29	3.36
136	-0.03	-0.19	1.02	4.27	-4.64	3.42
137	-0.01	-0.17	1.01	2.08	-2.38	2.99
138	-0.00	-0.15	1.01	0.00	-0.06	2.14
139	0.01	-0.13	1.01	-1.95	1.95	0.98
140	0.02	-0.11	1.01	-3.36	3.60	0.00
141	0.03	-0.11	1.01	-4.15	4.88	0.37
142	0.03	-0.10	1.02	-4.03	5.19	0.24
143	0.04	-0.11	1.03	-4.33	5.49	-0.61
144	0.04	-0.11	1.05	-4.58	5.68	-1.46
145	0.04	-0.11	1.06	-4.82	5.49	-2.01
146	0.04	-0.12	1.06	-4.88	5.55	-2.75
147	0.04	-0.12	1.06	-5.49	5.74	-3.30
148	0.05	-0.11	1.06	-6.65	5.74	-3.78
149	0.05	-0.10	1.06	-7.69	5.62	-4.21
150	0.05	-0.09	1.05	-8.24	5.43	-4.58
151	0.04	-0.08	1.06	-8.24	5.31	-4.46
152	0.05	-0.06	1.05	-7.02	5.68	-4.09
153	0.05	-0.09	1.05	-3.17	6.47	-3.54
154	0.06	-0.11	1.05	-2.44	7.08	-3.11
155	0.06	-0.10	1.06	-4.39	8.12	-3.36
156	0.06	-0.10	1.06	-5.86	8.67	-3.85
157	0.06	-0.10	1.06	-6.96	8.91	-4.15
158	0.06	-0.09	1.06	-7.69	8.79	-4.27
159	0.06	-0.09	1.05	-8.12	8.12	-4.94
160	0.06	-0.08	1.05	-9.09	7.20	-6.77
161	0.06	-0.06	1.06	-9.95	6.04	-9.28
162	0.06	-0.05	1.06	-8.73	4.27	-11.96
163	0.06	-0.04	1.05	-5.55	1.83	-13.73
164	0.06	-0.04	1.04	-1.71	-0.49	-14.77
165	0.05	-0.05	1.02	1.83	-2.14	-15.50
166	0.04	-0.05	1.01	3.97	-2.99	-15.69
167	0.02	-0.05	1.01	4.21	-3.11	-15.56
168	0.02	-0.05	1.01	3.30	-2.32	-15.08
169	0.01	-0.06	1.00	0.92	-1.10	-14.53
170	0.01	-0.05	1.00	-3.17	0.24	-14.22
171	0.02	-0.03	1.00	-7.39	1.95	-14.10
172	0.02	-0.01	1.00	-9.64	3.54	-14.47
173	0.03	0.01	0.99	-9.40	4.58	-15.32
174	0.02	0.03	0.98	-6.71	4.76	-16.42
175	0.01	0.02	0.97	-2.62	4.21	-17.94
176	0.01	0.02	0.97	0.61	3.48	-19.04
177	-0.00	0.00	0.97	2.44	3.11	-19.41
178	-0.01	-0.00	0.97	2.38	2.99	-19.47
179	-0.01	-0.01	0.97	1.46	4.21	-19.17
180	-0.01	-0.01	0.98	-0.18	6.04	-19.04
181	-0.00	-0.01	0.99	-2.50	8.24	-17.70
182	0.00	-0.00	1.00	-4.76	10.74	-16.54
183	0.02	0.01	1.02	-6.41	12.51	-15.99
184	0.04	0.03	1.04	-5.98	13.43	-15.08
185	0.07	0.04	1.05	-2.08	12.76	-14.95
186	0.07	0.03	1.05	3.72	10.50	-16.24
187	0.07	0.02	1.04	8.91	6.96	-17.21
188	0.06	0.02	1.03	11.90	3.23	-17.09
189	0.07	0.02	1.03	12.27	0.92	-16.36
190	0.07	0.02	1.02	11.05	-0.61	-14.89
191	0.07	0.03	1.02	9.58	-0.73	-13.61
192	0.07	0.04	1.02	8.48	0.00	-12.51
193	0.06	0.03	1.03	8.24	1.16	-11.35
194	0.06	0.03	1.03	8.85	2.69	-10.25
195	0.05	0.02	1.04	9.58	4.33	-8.61
196	0.06	0.00	1.04	9.40	6.23	-8.48
197	0.07	-0.01	1.05	8.06	8.12	-10.13
198	0.08	-0.01	1.05	6.04	9.03	-13.06
199	0.08	-0.01	1.05	4.39	9.46	-16.42
200	0.08	0.00	1.04	3.78	9.77	-18.62
201	0.08	0.01	1.04	3.17	9.46	-19.04
202	0.08	0.03	1.04	2.32	9.09	-17.46
203	0.08	0.04	1.04	1.65	8.06	-14.71
204	0.07	0.05	1.04	1.83	6.35	-10.56
205	0.07	0.05	1.05	2.14	4.33	-5.98
206	0.08	0.04	1.06	3.17	3.54	-2.20
207	0.09	0.01	1.06	5.19	3.30	-0.55
208	0.10	-0.01	1.06	5.19	3.17	-2.14
209	0.09	-0.01	1.06	3.66	3.23	-4.64
210	0.08	0.00	1.05	2.20	2.50	-7.20
211	0.07	0.01	1.04	1.28	1.40	-8.97
212	0.06	0.04	1.03	1.59	0.55	-9.09
213	0.06	0.03	1.02	3.42	0.12	-8.06
