-0.21;0.66;0.57;-277.71;-5.98;-37.48
-0.20;0.73;0.52;-287.05;-5.92;-37.84
-0.17;0.77;0.48;-295.23;-5.68;-40.28
-0.17;0.73;0.41;-303.34;-6.23;-45.41
-0.13;0.77;0.34;-315.06;-8.36;-50.42
-0.10;0.88;0.30;-326.05;-13.67;-55.18
-0.13;0.88;0.26;-330.63;-21.42;-58.78
-0.21;0.84;0.20;-335.82;-24.66;-61.77
-0.20;0.89;0.14;-345.95;-21.97;-65.80
-0.16;0.97;0.07;-354.00;-18.37;-70.92
-0.16;0.95;0.00;-354.98;-14.95;-75.26
-0.14;0.99;-0.07;-353.03;-10.50;-79.28
-0.14;0.99;-0.14;-347.96;-5.74;-84.17
-0.14;0.95;-0.19;-341.13;0.79;-87.10
-0.12;0.93;-0.26;-335.88;6.23;-86.79
-0.08;0.92;-0.30;-331.30;11.41;-86.36
-0.06;0.89;-0.37;-328.12;16.17;-85.69
0.03;0.98;-0.41;-324.34;17.33;-85.08
0.04;0.97;-0.44;-311.71;14.34;-82.34
0.04;0.99;-0.48;-293.03;9.09;-77.27
0.09;1.06;-0.49;-268.43;2.01;-69.34
0.06;1.03;-0.52;-235.47;-6.71;-59.08
0.05;0.99;-0.53;-202.03;-14.65;-46.45
0.04;0.93;-0.56;-171.26;-20.57;-32.04
0.03;0.88;-0.57;-145.69;-25.27;-16.54
0.06;0.88;-0.58;-125.24;-28.81;-0.73
0.08;0.89;-0.62;-105.04;-31.80;11.60
0.10;0.93;-0.65;-85.33;-32.84;19.35
0.13;0.94;-0.66;-64.94;-32.35;23.50
0.14;0.92;-0.68;-46.57;-33.08;25.02
0.10;0.81;-0.68;-35.58;-35.71;25.57
0.04;0.71;-0.70;-36.50;-37.60;24.48
0.00;0.67;-0.71;-49.50;-34.85;21.85
-0.00;0.72;-0.71;-65.73;-27.28;18.68
0.00;0.80;-0.71;-74.22;-18.13;15.87
0.01;0.81;-0.69;-70.50;-9.70;14.53
0.05;0.75;-0.68;-59.81;-4.09;15.93
0.06;0.72;-0.74;-50.96;-2.08;19.90
0.06;0.67;-0.73;-45.10;0.06;23.19
0.05;0.69;-0.70;-43.70;1.16;25.27
-0.00;0.64;-0.70;-40.04;-0.18;26.61
0.00;0.63;-0.70;-37.84;0.61;27.10
0.01;0.69;-0.69;-38.27;1.46;26.18
-0.02;0.69;-0.68;-35.16;1.65;22.89
-0.03;0.67;-0.67;-30.64;3.05;18.07
-0.04;0.66;-0.66;-26.61;5.13;13.37
-0.04;0.68;-0.65;-21.36;6.65;10.99
-0.06;0.63;-0.68;-12.63;6.41;8.54
-0.05;0.64;-0.67;-8.00;7.08;5.74
-0.06;0.69;-0.67;-5.62;7.75;4.15
-0.09;0.73;-0.67;-0.79;8.06;2.01
-0.10;0.80;-0.66;5.07;10.31;-0.12
-0.10;0.84;-0.65;13.55;13.43;-1.65
-0.11;0.89;-0.64;26.12;16.05;-2.62
-0.11;0.93;-0.62;40.22;18.92;-2.87
-0.10;0.97;-0.60;56.21;20.87;-2.14
-0.09;1.03;-0.58;75.32;22.09;-0.49
-0.05;1.04;-0.58;96.86;22.28;1.59
-0.00;1.01;-0.61;117.31;21.06;4.09
0.07;0.93;-0.66;132.20;18.55;7.45
0.16;0.85;-0.67;141.91;14.16;13.00
0.21;0.85;-0.67;147.71;7.57;22.77
0.15;0.91;-0.67;153.56;0.61;31.80
0.07;0.99;-0.68;163.45;-3.23;36.87
0.05;1.08;-0.67;178.89;-0.79;39.55
0.02;1.06;-0.64;199.28;6.47;44.68
0.01;1.08;-0.61;218.08;14.10;50.72
0.00;1.09;-0.53;234.92;20.75;57.50
0.04;1.09;-0.48;251.53;22.40;65.00
0.07;1.03;-0.49;267.15;19.53;69.21
0.05;0.92;-0.47;277.10;16.54;70.07
-0.01;0.88;-0.42;276.12;15.08;69.89
-0.05;0.89;-0.36;266.97;15.87;65.98
-0.09;0.89;-0.29;258.97;15.32;60.73
-0.15;0.91;-0.22;253.48;15.01;55.60
-0.19;0.96;-0.15;252.56;14.77;51.27
-0.23;0.99;-0.11;258.67;15.50;49.26
-0.24;1.01;-0.07;271.79;16.66;49.68
-0.23;1.00;-0.06;289.31;18.19;52.12
-0.20;1.02;-0.05;307.07;21.24;54.69
-0.16;1.00;-0.03;323.61;23.99;59.27
-0.15;0.91;-0.02;334.84;25.09;61.71
-0.16;0.83;0.02;337.04;25.88;60.85
-0.16;0.79;0.07;331.91;25.88;56.82
-0.18;0.70;0.12;321.96;24.11;50.90
-0.23;0.67;0.20;309.75;21.61;43.95
-0.27;0.66;0.27;298.71;18.07;38.88
-0.32;0.66;0.34;291.26;15.01;35.28
-0.34;0.64;0.40;288.09;15.32;32.96
-0.37;0.60;0.45;286.87;19.17;32.41
-0.37;0.56;0.49;283.14;25.33;33.94
-0.32;0.59;0.53;277.95;32.96;37.23
-0.26;0.57;0.55;273.80;40.53;39.73
-0.21;0.47;0.57;266.78;44.86;38.82
-0.19;0.41;0.60;253.78;45.35;35.83
-0.19;0.38;0.67;237.98;41.63;30.94
-0.21;0.35;0.75;222.23;34.61;27.40
-0.22;0.31;0.81;209.17;23.80;26.49
-0.27;0.29;0.86;199.58;12.21;27.16
-0.32;0.28;0.89;192.87;5.49;28.93
-0.35;0.28;0.92;188.84;4.88;31.13
-0.33;0.30;0.93;187.50;8.30;32.71
-0.28;0.26;0.91;188.35;12.45;32.53
-0.26;0.18;0.88;186.83;15.56;29.66
-0.25;0.07;0.86;176.70;19.10;24.29
-0.22;0.03;0.88;156.49;22.46;17.40
-0.18;0.08;0.92;135.25;22.09;10.56
-0.18;0.11;0.95;121.70;17.27;5.80
-0.20;0.13;0.97;115.54;10.56;4.09
-0.20;0.10;0.99;112.85;3.97;5.92
-0.20;0.11;1.00;111.45;-1.40;8.97
-0.22;0.07;1.00;110.11;-5.55;12.08
-0.25;0.02;1.01;107.67;-8.00;15.01
-0.26;-0.01;1.01;101.50;-7.57;17.27
-0.27;-0.03;1.01;93.08;-4.76;18.49
-0.26;-0.03;1.01;84.53;-1.46;19.47
-0.23;-0.01;1.01;77.33;2.01;18.43
-0.22;-0.01;1.01;73.49;3.48;14.22
-0.22;-0.04;1.01;71.53;4.15;8.91
-0.22;-0.06;1.02;69.95;3.60;4.09
-0.23;-0.09;1.03;68.30;1.71;0.49
-0.25;-0.15;1.02;65.86;-0.37;-1.65
-0.26;-0.19;1.02;60.12;-1.71;-2.08
-0.25;-0.21;1.02;50.60;-2.75;-1.65
-0.24;-0.20;1.03;38.51;-3.36;-0.12
-0.23;-0.10;1.04;28.32;-4.39;0.85
-0.22;-0.05;1.05;25.09;-6.23;0.61
-0.23;-0.02;1.05;29.11;-8.06;0.12
-0.23;-0.02;1.05;36.01;-9.52;-0.49
-0.24;-0.06;1.04;44.07;-10.56;-0.55
-0.25;-0.12;1.03;48.34;-11.05;-0.12
-0.25;-0.18;1.03;46.57;-10.86;1.04
-0.27;-0.21;1.03;38.76;-9.77;2.81
-0.27;-0.22;1.02;27.16;-7.93;4.64
-0.27;-0.20;1.02;14.34;-5.62;5.92
-0.27;-0.19;1.01;2.50;-3.48;6.23
-0.28;-0.19;1.02;-7.26;-0.37;5.74
-0.27;-0.12;1.02;-14.10;2.81;4.76
-0.24;-0.04;1.03;-14.22;4.52;3.11
-0.25;-0.06;1.02;-6.29;4.09;1.22
-0.26;-0.09;1.01;1.59;2.99;1.04
-0.27;-0.13;1.00;6.04;2.20;2.56
-0.27;-0.16;0.99;6.41;2.38;4.76
-0.27;-0.17;0.98;2.56;3.36;7.08
-0.25;-0.18;0.97;-4.46;4.58;7.75
-0.25;-0.18;0.98;-12.94;6.04;5.25
-0.25;-0.17;0.99;-21.97;7.26;1.59
-0.26;-0.17;1.00;-30.21;8.54;-1.59
-0.26;-0.16;1.02;-37.60;10.80;-3.30
-0.25;-0.17;1.03;-44.92;13.06;-3.91
-0.24;-0.17;1.03;-52.92;14.04;-3.85
-0.24;-0.17;1.03;-61.89;14.40;-3.30
-0.23;-0.17;1.03;-71.72;14.65;-3.05
-0.21;-0.17;1.01;-82.82;14.53;-3.72
-0.21;-0.14;1.00;-94.54;14.28;-5.86
-0.21;-0.10;0.99;-105.41;12.51;-9.46
-0.24;-0.12;0.98;-115.11;10.62;-13.18
-0.25;-0.09;0.96;-126.46;10.68;-16.36
-0.26;-0.06;0.95;-138.43;12.57;-18.68
-0.24;-0.02;0.93;-149.29;15.44;-20.51
-0.22;0.03;0.90;-157.90;18.25;-21.36
-0.18;0.07;0.89;-164.18;18.25;-21.67
-0.18;0.10;0.88;-170.29;15.26;-21.61
-0.18;0.09;0.88;-177.25;10.74;-20.87
-0.17;0.10;0.86;-187.32;5.62;-19.65
-0.16;0.11;0.85;-202.94;0.73;-19.35
-0.17;0.17;0.84;-221.50;-3.42;-19.90
-0.17;0.25;0.82;-239.75;-6.77;-21.48
-0.16;0.34;0.77;-254.82;-9.22;-24.05
-0.14;0.47;0.74;-266.05;-12.02;-27.59
-0.15;0.61;0.73;-268.25;-16.78;-31.31
-0.19;0.60;0.71;-260.68;-22.34;-34.12
-0.22;0.53;0.65;-253.30;-25.88;-34.30
-0.28;0.42;0.60;-257.26;-24.72;-33.26
